"OperationType","Title","PublicationDate","Guid","Description","DescriptionIsParsable","QuickDescription","Notes","SubChanges"
,"Office for iPad","9/30/2014 5:39:00 AM","f9105dfb-303b-4fd5-829f-e7106efa204c","Added the FQDNs that are required for Office for iPad to function. directory.services.live.com, odc.officeapps.live.com, docs.live.net, roaming.officeapps.live.com, nexus.officeapps.live.com, sqm.microsoft.com, watson.telemetry.microsoft.com, login.live.com, wer.microsoft.com, microsoft-my.sharepoint.com, login.microsoftonline.com, ms.tific.com, msft.sts.microsoft.com, p100-sandbox.itunes.apple.com, signup.live.com, auth.gfx.ms, view.atdmt.com, client.hip.live.com, dc2.client.hip.live.com, c.live.com, go.microsoft.com, office.microsoft.com, officeimg.vo.msecnd.net, m.webtrends.com, account.live.com, c.bing.com, partnerservices.getmicrosoftkey.com, client.hip.live.com, clientconfig.microsoftonline-p.net, cl2.apple.com, sas.office.microsoft.com, foodanddrink.services.appex.bing.com, en-US.appex-rf.msn.com, weather.tile.appex.bing.com","False",,,
,"Office Mobile","9/30/2014 5:40:00 AM","6018ef81-05df-4b30-bbfd-5029fe7107ef","Added the FQDNs that are required for Office Mobile to function. office15client.microsoft.com, odc.officeapps.live.com, go.microsoft.com, login.microsoftonline.com, msft.sts.microsoft.com, odcsm.officeapps.live.com, microsoft-my.sharepoint.com, ms.tific.com, roaming.officeapps.live.com, o15.officeredir.microsoft.com, office.microsoft.com, officeimg.vo.msecnd.net, m.webtrends.com, d.docs.live.net, login.live.com, auth.gfx.ms, wer.microsoft.com, *.appex.bing.com, *.appex-rf.msn.com, appexsin.stb.s-msn.com","False",,,
,"rte:ip_LYO_IPv4","10/7/2014 9:12:00 AM","6018ef81-06df-4b30-bbfd-5029fe7107ef","Lync Online: Removed 65.54.54.128/25 and157.55.104.96/27 as they are no longer in use by Lync Online.","False",,,
,"SharePoint Online","10/9/2014 5:00:00 AM","7107ef92-04cf-4c40-aafd-6018ef8106df","Added several new ranges to SharePoint Online (104.146.0.0/15, 191.234.128.0/21, 191.235.0.0/20, 134.177.0.0/16)","False",,,
,"Office 365 portal and identity","10/10/2014 5:00:00 AM","fd6018fe-8106-4dfa-b04b-fc5029fe7017","Added several new IP addresses to support identity (23.97.66.110, 23.97.103.118, 23.97.145.9, 23.99.128.120, 23.99.193.105, 23.99.193.105, 23.101.19.99, 23.101.25.224, 23.101.178.227, 23.101.187.91, 23.102.64.138, 65.52.176.72, 65.52.228.99, 65.52.232.52, 65.52.233.128, 65.52.240.73, 104.41.1.233, 137.116.32.101, 137.116.49.27, 137.116.242.169, 138.91.1.59, 157.55.161.59, 157.55.161.75, 157.55.208.58, 157.55.208.218, 157.56.28.192, 168.61.32.214, 168.62.16.252, 168.62.24.38, 168.62.56.108, 168.62.105.126, 168.62.105.217, 191.233.37.141, 191.238.80.241, 191.239.64.124, 191.239.64.125, 191.239.64.129, 191.239.64.130, 191.239.64.131, 191.239.64.132, 191.239.64.133, 191.239.64.134, 191.239.160.4, 191.239.160.93, 191.239.160.143, 191.239.160.140, 191.239.160.144, 191.239.160.145, 191.239.160.141, 191.239.160.142, 213.199.132.97).","False",,,
,"Exchange Online","10/21/2014 10:27:00 AM","fc402afe-7017-4ef9-a05d-fb303bfd5019","Added 65.55.79.128/25 to the list of IP ranges for the Microsoft Federation Gateway.","False",,,
,"Office 365 portal and identity","10/28/2014 9:04:00 AM","04cfc402-afd6-4018-af81-05dfb303bfd5","Added 137.116.80.106 & 157.56.8.78 to support identity.","False",,,
,"SharePoint Online","10/28/2014 9:04:00 AM","9fe7107e-f920-45cf-b403-afd6018ef810","Replaced list of IP addresses with updated list. The new list includes both old and new IP addresses and consolidates into subnets where possible. IPv4: 42.159.34.0/27, 42.159.38.0/23, 42.159.162.0/27, 42.159.166.0/23, 65.52.45.0/24, 65.55.22.32/27, 70.37.151.64/27, 94.245.113.160/27, 104.146.0.0/15, 111.221.17.160/27, 111.221.20.128/25, 111.221.22.32/27, 111.221.22.192/27, 111.221.64.160/27, 111.221.67.0/25, 134.170.200.0/21, 134.170.208.0/21, 134.177.0.0/16, 157.55.43.32/27, 157.55.46.128/27, 157.55.56.0/27, 157.55.62.96/27, 157.55.62.128/27, 157.55.103.0/27, 157.55.144.64/26, 157.55.145.192/27, 157.55.147.0/27, 157.55.151.192/27, 157.55.152.128/25, 157.55.153.0/27, 157.55.153.64/26, 157.55.154.64/27, 157.55.225.160/27, 157.55.225.224/27, 157.55.227.128/27, 157.55.229.0/25, 157.55.229.160/27, 157.55.231.32/27, 157.55.232.0/27, 157.55.235.64/27, 157.55.238.128/27, 157.56.24.128/27, 157.56.48.0/27, 157.56.80.128/27, 157.56.81.192/26, 157.56.113.0/27, 157.56.132.128/26, 157.56.150.32/27, 191.232.0.0/23, 191.234.8.0/21, 191.234.76.0/23, 191.234.128.0/21, 191.234.144.0/20, 191.234.148.0/22, 191.234.152.0/23, 191.234.192.0/19, 191.235.0.0/20, 207.46.203.128/27, 213.199.179.0/27. IPv6: 2a01:111:f402::/48, 2801:80:1d0:1400::/54","False",,,
,"Yammer","11/4/2014 3:35:00 AM","fe6018ef-9105-4dfb-b03b-fd5029fe7106","Replaced the existing URLs with ashorter up to date list (*.assets-yammer.com, *.cloudfront.net,*.yammer.com, &*.yammerusercontent.com)Removing *.amazonaws.com, *.cotssl.net,& *.edgekey.net.","False",,,
,"Yammer","11/11/2014 9:18:00 AM","017ef920-5dfb-4303-bfd5-019fe8106efa","Added ajax.googleapis.com, *.crocodoc.com which are used to support the viewing of uploaded documents, video, & images.","False",,,
,"Lync Online","11/25/2014 8:32:00 AM","f9205cfb-403a-4fd6-818f-e8106dfa304c","Added several smaller subnets (23.103.129.0/25, 23.103.130.128/26, 132.245.0.0/24, 132.245.1.0/25, 132.245.112.0/24, 132.245.113.0/25, 132.245.128.0/24, 132.245.129.0/25, 132.245.161.0/24, 132.245.162.0/25, 132.245.192.0/24, 132.245.193.0/25, 132.245.208.0/24, 132.245.209.0/25, 157.56.135.64/26, 157.56.135.160/27, 157.56.184.224/27, 157.56.185.0/26, 134.170.53.32/27, 134.170.54.0/26, 134.170.54.128/25, 134.170.113.192/26, 134.170.115.0/27, 134.170.115.128/25, 191.232.83.32/27).","False",,,
,"Office Online","11/25/2014 8:32:00 AM","6dfa204c-fc40-42af-a701-7ef9205dfb30","Added IPv4 & IPv6 (23.103.183.0/26) &amp; (2a01:111:f406:1c01::/64 & 2a01:111:f406:b401::/64).","False",,,
,"Exchange Online","11/25/2014 8:32:00 AM","fd5029fe-7107-4ef9-a04c-fc403afd6018","Added IPv4 & IPv6 (23.103.160.0/20) & (2a01:111:f400::/48).","False",,,
,"Lync Online","12/9/2014 8:07:00 AM","efa204cf-c402-4afd-a018-ef9105dfb303","Added IPv4 addresses to support new datacenters (23.103.128.0/25, 23.103.128.128/25, 23.103.130.0/26, 23.103.130.64/26, 191.232.80.96/27, 191.232.83.0/27).","False",,,
,"Lync Online","12/16/2014 3:22:00 AM","fc402afe-6017-4ef9-905d-fb303bfd5019","Added subnets to support new datacenters (66.119.157.0/25, 66.119.157.192/26, 2a01:111:2035:6::/64, 2a01:111:2035:7::/64).","False",,,
,"Exchange Online Protection","12/16/2014 3:23:00 AM","fe7106ef-a204-4cfc-802a-fd6018ef8105","Important update to the EOP IP list (23.103.132.0/23, 23.103.134.0/23, 23.103.144.0/19, 23.103.191.0/24, 23.103.198.0/23, 23.103.200.0/21, 23.130.156.0/22, 64.4.22.64/26, 65.55.169.0/24, 65.55.83.128/27, 104.47.0.0/17, 134.170.132.0/24, 134.170.140.0/24, 134.170.171.0/24, 157.55.133.160/27, 157.55.158.0/23, 157.55.234.0/24, 157.55.206.0/23, 157.56.73.0/24, 157.56.87.192/26, 157.56.108.0/24, 157.56.110.0/24, 157.56.111.0/24, 157.56.112.0/24, 157.56.206.0/24, 157.56.208.0/22, 207.46.100.0/24, 207.46.101.128/26 &amp; 2a01:111:f400:fc00::/54).","False",,,
,"Exchange Online Protection","1/13/2015 4:03:00 AM","bfc5029f-e701-47ef-9205-cfb303bfd601","Minor adjustments to the list published in December (23.103.132.0/23 changed to 23.103.132.0/22, 23.103.134.0/23 removed (included in other ranges), 23.103.144.0/19 changed to 23.103.144.0/22, 23.130.156.0/22 changed to 23.103.136.0/21).","False",,,
,"Lync Online","1/27/2015 2:07:00 AM","b303bfd5-019f-4e81-86ef-a204cfc402af","Added subnet to support new datacenters (66.119.158.0/25).","False",,,
,"Office 365 portal and identity","3/17/2015 2:00:00 AM","4cfc4029-fe70-417e-b920-5dfb303bfd50","Office 365 acquired a new subnet range that is dedicated to different parts of the service. The new range will be rolled out over time starting 30+ days from now. If youĂŻÂżÂ˝re using all Office 365 services (such as Exchange Online, SharePoint Online, & Lync Online), you can safely add the larger range 40.96.0.0/12 instead of the individual ranges for each workload.","False",,,
,"Exchange Online","3/17/2015 2:01:00 AM","bfd5018f-e810-46df-a204-cfc402afe601","Of the new Office 365 range (40.96.0.0/12), Exchange Online has been allocated seven ranges. Exchange Online will wait 30+ days before deploying capacity to the following end points. 40.96.0.0/16, 40.97.0.0/16, 40.98.0.0/16, 40.99.0.0/16, 40.100.0.0/16, 40.101.0.0/16, 40.102.0.0/16.","False",,,
,"Lync Online","3/17/2015 2:02:00 AM","dfa204cf-c402-4afe-b017-ef9205dfb303","Of the new Office 365 range (40.96.0.0/12), Lync Online has been allocated one range. The Lync Online will wait 30+ days before deploying capacity to the following end points. 40.110.0.0/16.","False",,,
,"Lync Online","3/17/2015 2:03:00 AM","ef9205cf-b403-4afd-a018-ff8106dfa304","Lync Online is adding additional capacity outside of this new range. Lync Online will wait 30+ days before deploying capacity to the following end points. 23.103.130.192/26, 191.232.83.64/27, 23.103.129.128/25.","False",,,
,"Lync Online","3/17/2015 2:04:00 AM","d5019fe7-106e-4fa2-84cf-c402afd6018e","Lync Online has also deployed more IPv6 capability to the offering, if youĂŻÂżÂ˝re using IPv6, the new ranges are: 2a01:111:f404:8002::/64, 2a01:111:f404:8003::/64, 2a01:111:f404:0c06::/64, 2a01:111:f404:0c07::/64, 2a01:111:f406:402::/64, 2a01:111:f406:403::/64, 2a01:111:f404:9400::/64, 2a01:111:f404:9401::/64, 2a01:111:f406:2400::/64, 2a01:111:f406:2401::/64, 2a01:111:f404:a000::/64, 2a01:111:f404:a001::/64, 2a01:111:f404:a800::/64, 2a01:111:f404:a801::/64, 2a01:111:2035:6::/64, 2a01:111:2035:7::/64, 2a01:111:f404:3400::/64, 2a01:111:f404:3401::/64, 2a01:111:306:2::/64, 2a01:111:2007:3::/64, 2a01:111:6:4::/64, 2a01:111:2046:4::/64, 2a01:111:12:5::/64, 2a01:111:2036:2::/64, 2a01:111:307:2::/64, 2a01:111:2034:2::/64.","False",,,
,"SharePoint Online","3/17/2015 2:05:00 AM","29fe7007-ef92-405c-bb40-3afd6018ff81","Of the new Office 365 range (40.96.0.0/12), SharePoint Online has been allocated two ranges. SharePoint Online will wait 30+ days before deploying capacity to the following end points. 40.108.0.0/16, 40.109.0.0/16.","False",,,
,"Exchange Online Protection","3/17/2015 2:06:00 AM","6017ef91-05df-4b30-bbfd-5019fe7106ef","Of the new Office 365 range (40.96.0.0/12), Exchange Online Protection has been allocated one range. Exchange Online Protection will wait 30+ days before deploying capacity to the following end points. 40.107.0.0/16.","False",,,
,"Office Online","3/17/2015 2:07:00 AM","ef9205df-b303-4bfd-a018-fe8106dfa204","Office Online is adding new capacity in 14-30 days with the following new end points. 104.46.60.252, 23.102.157.61, 23.101.60.234","False",,,
,"Office 365 ProPlus","3/17/2015 2:08:00 AM","d5018fe8-106d-4fa2-84cf-c402afe7017e","Office 365 ProPlus has already deployed additional licensing capacity. This is a retro-active announcement. Please add 157.55.192.81 & 168.62.30.34 to allow Office activation at your earliest convenience.","False",,,
,"Office 365 portal and identity","3/24/2015 4:52:00 AM","6606ac8e-97ca-4c1a-b8af-c54efe774b3c","Adding new endpoints going live in April. Two new FQDNs login.windows.net and a new FQDN - Home.office.com that has the following associated IPv4 and IPv6 addresses. IPv4: 65.52.240.200, 191.238.160.173, 168.63.92.133, 213.199.128.119, 111.221.104.43, 23.97.66.55. IPv6: 2a01:111:f100:1004::4134:f0c8, 2603:1030:800:5::bfee:a0ad, 2a01:111:f100:a001::a83f:5c85, 2a01:111:f100:8001::d5c7:8077, 2a01:111:f100:7000::6fdd:682b, 2a01:111:f102:8001::1761:4237.","False",,,
,"Exchange Online","3/24/2015 4:53:00 AM","03bfd501-9fe8-4106-afa2-04cfc402afe6","Adding new required endpoints that will go live on 3/30. 204.79.197.215, 131.253.33.215, 191.234.6.152. Also adding additional endpoints for use 30+ days from now. 206.191.224.0/19, 23.103.224.0/19, 40.103.0.0/16, 40.104.0.0/16, and 40.105.0.0/16.","False",,,
,"Office 365 remote analyzer tools","3/24/2015 4:54:00 AM","04bfc502-9fe7-4017-af92-05cfb403afd6","Removing IP addresses of decommissioned capacity. Remove 65.55.150.61, 65.55.150.158, 65.55.150.160, 207.46.14.52, 207.46.14.62, and 207.46.14.63.","False",,,
,"SharePoint Online","3/24/2015 4:55:00 AM","fe7106ef-a204-4cfc-802a-fd6018ef9105","Added support for new OneNote notebooks features. Add www.onenote.com or the associated IP addresses 168.61.25.60 and  137.116.50.49. OneNote notebooks also leverages a content delivery network under the other sub-domains of  *.onenote.com. At this time, the CDN provider is Akamai (IP addresses are unavailable for this CDN provider).","False",,,
,"Office 365 portal and identity","3/31/2015 7:47:00 AM","f9105dfb-303b-4fd5-819f-e7106efa204c","Adding endpoints for additional shared capacity that is already online. 23.97.139.122, 23.97.152.190, 65.52.129.119, 65.52.160.218, 65.52.176.168, 65.52.209.62, 65.52.232.17, 70.37.81.47, 137.116.49.210, 137.116.64.25, 137.116.64.35, 137.116.65.59, 137.116.66.126, 137.116.81.187, 137.117.146.106, 137.117.198.210, 137.117.199.4, 137.135.60.254, 137.135.160.110, 137.135.177.223, 138.91.64.46, 138.91.246.237, 157.55.80.41, 157.55.80.94, 157.55.177.39, 157.55.168.184, 157.55.184.223, 157.55.192.81, 157.56.162.166, 168.61.67.171, 168.61.216.178, 168.62.4.48, 168.62.29.225, 168.62.43.8, 168.62.106.152, 168.62.202.67, 168.62.204.209, 168.63.17.108, 168.63.18.131, 168.63.29.74, 168.63.52.117, 168.63.138.56, 168.63.139.159, 168.63.152.235, 168.63.172.54, 168.63.173.188, 168.63.213.238, 168.63.252.62, 168.63.254.109, 191.234.55.177, 191.238.224.150, 207.46.129.169","False",,,
,"Lync Online","3/31/2015 7:48:00 AM","e7017ef9-205d-4fb3-83bf-d5019fe8106e","Adding federation endpoints that are already online. 23.103.176.128/26, 23.103.176.192/27, 23.103.178.128/26, 23.103.178.192/27","False",,,
,"Office 365 portal and identity","4/7/2015 7:18:00 AM","afe7017e-f920-45df-b303-bfd5018fe810","Added *.windows.net to support the new authentication options for Office 365.","False",,,
,"Office 365 portal and identity","4/14/2015 11:16:00 AM","03bfd601-8fe8-4106-9fa2-04cfc402afe7","Several removals and additions effective immediately. Please remove these IP addresses (65.52.176.168, 65.52.232.17, 137.116.64.25, 137.117.199.4, 137.135.177.223, 157.55.192.81, 168.61.67.171, 168.61.216.178, 168.63.254.109) and add these IP addresses (65.52.168.29, 137.116.64.98, 137.135.178.242, 138.91.142.85, 157.55.80.81, 168.61.152.89, 168.62.108.118, 168.63.104.53, 168.63.240.114)","False",,,
,"SharePoint Online","4/21/2015 3:46:00 AM","cfc402af-e601-47ef-9105-dfb303bfd501","New range added in January 2015 to the SPO page. The SPO change log was updated at the time, but the specific range that was added was left out of the change log and the RSS feed. Adding the rangeĂ‚Â to the RSS feed here for clarity.Ă‚Â 191.234.208.0/23.","False",,,
,"Yammer","4/21/2015 5:32:00 AM","fe8106df-a304-4bfc-9029-fe7017ef9205","The Yammer endpoints areĂ‚Â moving from theĂ‚Â 204.152.18.0/23 range to the 134.170.148.0/22 range effective May 16th 2015. Please add 134.170.148.0/22 and after you've validated your traffic has moved over to the new range after May 16th, remove 204.152.18.0/23.","False",,,
,"SharePoint Online","4/28/2015 8:46:00 AM","fd5029fe-7107-4efa-a04c-fc402afd6018","The OneNote notebook CDN endpoint published on 3/24/2015 is being updated to cdn.onenote.net instead of cdn.onenote.com. If you're using the OneNote notebooks feature with SharePoint Online, this change is needed for CDN content only.","False",,,
,"Office 365 portal and  identity","5/4/2015 10:26:00 PM","c4029fe7-017e-4f92-85df-b303bfd5018f","Several additions and removals going live in 30+ days. Please remove these IP addresses (65.52.168.29, 137.116.64.98, 137.135.178.242, 138.91.142.85, 157.55.80.81, 168.61.152.89, 168.62.108.118, 168.63.104.53, 168.63.240.114) and add these IP addresses (104.43.140.223, 104.45.11.195, 104.45.214.112, 104.209.190.8, 23.101.14.229, 23.101.30.126, 23.102.155.140, 65.52.26.28, 191.237.218.239)","False",,,
,"SharePoint Online","5/13/2015 10:09:00 AM","e7007ef9-205c-4fb4-83af-d6018fe8106d","Effective today, customersĂ‚Â using Delve will want to ensure that the endpoint res.outlook.com is allowed from computers using Delve. This namespace is used for content delivery networks already by Exchange Online and Delve has begun using it as well. If you donĂ˘â‚¬â„˘t already have a FW rule allowing access to this namespace, please add one if youĂ˘â‚¬â„˘re using Delve.","False",,,
,"Exchange Online","5/13/2015 10:09:00 AM","cfc403af-d601-48ef-8106-dfa304bfc502","Effective today, the Microsoft Federation Gateway functionality has been integrated with the Azure Active Directory Authentication system. If youĂ˘â‚¬â„˘re using Exchange Hybrid you no longer need to have your firewalls open to the following endpoints. 65.55.79.128/25, 207.46.150.128/25, & 207.46.164.0/24. You do need to ensure that you can access the endpoints listed under the portal and identity section.","False",,,
,"SharePoint Online","5/15/2015 8:50:00 PM","a204cfc4-02af-4e70-97ef-9205dfb303bf","Correction for the Delve CDN mentioned earlier. Instead of res.outlook.com, please use r3.res.outlook.com to open just for Delve.","False",,,
,"Office 365 portal and  identity","5/15/2015 8:51:00 PM","fd5019fe-8106-4efa-a04c-fc402afe6018","Azure RMS customers, the wildcard URL *.azurerms.com was added during the transition to the new page. It is now being used for the Document Tracking portal preview and will be used for other parts of the RMS offering in the future. Please add at your earliest convenience if you're using Azure RMS.","False",,,
,"Office 365 portal and  identity","5/23/2015 11:20:00 AM","7ef9205d-fb30-43bf-9501-9fe8106efa20","Effective in 30 days, several new IP addresses are going live (23.99.121.207, 23.100.86.91, 23.102.4.253, 104.46.50.125, 104.210.4.77, 104.210.40.87, 104.215.198.144, 191.236.155.80, 191.238.177.236).","False",,,
,"Office 365 ProPlus","5/23/2015 11:21:00 AM","107efa20-4cfc-4402-afd6-018ef8106dfb","Effective in 30 days, several new IP addresses are going live (104.40.234.17, 104.210.220.25, 191.236.108.93, 191.236.157.212).","False",,,
,"Office 365 portal and  identity","6/9/2015 10:50:00 PM","b403afd6-018f-4f81-86df-a304bfc5029f","Effective in 30 days, several new IP addresses are going live (23.99.116.116, 65.52.219.207, 104.41.207.73, 104.210.212.243, 104.215.146.200, 191.236.88.160)","False",,,
,"Skype for Business","6/24/2015 6:02:00 AM","e7017ef9-205d-4fb3-83bf-d6018fe8106d","Effective immediately,Ă‚Â IP address 131.253.129.143 is live.","False",,,
,"Skype for Business","6/30/2015 8:37:00 PM","8fe8106d-fa30-44bf-8502-9fe7017ef920","Effective in 45+ days, several new IP addresses are going live (IPv4: 131.253.132.0/25, 131.253.138.128/25, 131.253.140.128/25, 131.253.141.128/25) and (IPv6: 2a01:111:2a:a::/64, 2a01:111:2b:2::/64, 2a01:111:202b:4::/64, 2a01:111:f402:5803::/64).","False",,,
,"Office 365 portal and  identity","7/8/2015 2:50:00 AM","fa204cfc-402a-4fe6-817e-f9105dfb303b","Effective in 30 days, several new IP addresses are going live (104.46.1.211, 168.61.170.80, 168.63.100.61)","False",,,
,"Yammer","7/15/2015 1:55:00 AM","ef9205cf-b303-4afd-a018-fe8106dfa204","Effective at your convenience, the content rendering endpoint *.crocodoc.com has been decommissioned in favor of Office Online. Please remove this 3rd party endpoint from your allow list at your earliest convenience.","False",,,
,"Skype for Business Online","7/29/2015 10:30:43 AM","fb303bfd-5029-4fe7-907e-fa204cfc402a","Adding the following endpoints that are already live (66.119.157.160/27, 111.221.122.192/26, 131.253.128.0/25, 131.253.128.128/25, 131.253.129.0/25, 131.253.129.128/26, 131.253.130.0/25, 131.253.130.128/26, 131.253.131.0/25, 131.253.131.128/26, 131.253.134.0/25, 131.253.136.0/25, 131.253.136.128/25, 131.253.160.0/26, 131.253.160.128/26, 131.253.160.64/26, 131.253.161.128/26, 131.253.161.192/26, 131.253.162.128/26, 131.253.178.0/27, 131.253.178.64/27, 134.170.119.224/27, 134.170.58.224/27) and (2a01:111:200f:6::/64, 2a01:111:200f:7::/64, 2a01:111:2012:2::/64, 2a01:111:2012:3::/64, 2a01:111:203e:1::/64, 2a01:111:2040:1::/64, 2a01:111:2a:7::/6, 2a01:111:2a:8::/64, 2a01:111:2a:9::/64, 2a01:111:41:1::/64, 2a01:111:43:1::/64, 2a01:111:f404:0c09::/64, 2a01:111:f404:0c0a::/64)","False",,,
,"Office 365 Portal and Identity","7/29/2015 10:32:43 AM","fe6017ef-9205-4dfb-b03b-fd5019fe8106","Adding endpoints for Microsoft Azure Active Directory RemoteApp (dc.services.visualstudio.com, vortex.data.microsoft.com, telemetry.remoteapp.windowsazure.com, www.remoteapp.windowsazure.com, liverdcxstorage.blob.core.windowsazure.com)","False",,,
,"Exchange Online","7/29/2015 10:33:43 AM","9fe7106e-fa20-44cf-8402-afd6018ef810","Adding new core endpoint to be used in conjunction with outlook.office365.com (outlook.office.com)","False",,,
,"Exchange Online","7/29/2015 10:34:43 AM","fc402afe-6018-4ef9-905d-fb303bfd5029","ed additional information around the Hybrid workflow including two new Hybrid Configuration Wizard endpoints (hybridconfiguration.azurewebsites.netĂ‚Â  and *.hybridconfiguration.azurewebsites.net)","False",,,
,"SharePoint Online, Onedrive for Business, and Office 365 Video","7/29/2015 10:35:43 AM","8106dfa2-04cf-4c40-a9fe-7017ef9205df","Clarifying CDN endpoints for services relying on SharePoint Online. Adding for SharePoint Online (Cdn.sharepointonline.com, Static.sharepointonline.com, Prod.msocdn.com). Adding for OneDrive for Business (Spoprod-a.akamaihd.net). Adding for Office 365 Video (Spoprod-a.akamaihd.net and *.streaming.mediaservices.windows.net)","False",,,
,"Exchange Online Protection","7/29/2015 10:36:43 AM","fc5029fe-7017-4ef9-a05c-fb403afd6018","Clarified send/receive ports, direction, and destination FQDN (*.mail.protection.outlook.com)","False",,,
,"Office 365 Video","8/25/2015 9:00:00 AM","05cfb403-afd6-4018-be81-06dfa304cfc5","Retroactively added ajax.aspnetcdn.com which is currently live for Office 365 Video","False",,,
,"Sway","8/25/2015 9:00:00 AM","b403afd6-018f-4e81-86df-a304bfc5029f","Effective immediately: Added new section for Sway and added the associated FQDNs for Sway (sway.com, www.sway.com, eus-www.sway.com, eus-000.www.sway.com, eus-001.www.sway.com, eus-002.www.sway.com, eus-003.www.sway.com, eus-004.www.sway.com, wus-www.sway.com, wus-000.www.sway.com, wus-001.www.sway.com, wus-002.www.sway.com, wus-003.www.sway.com, wus-004.www.sway.com, eus-www.sway-cdn.com, wus-www.sway-cdn.com, eus-www.sway-extensions.com, wus-www.sway-extensions.com, c.microsoft.com, c1.microsoft.com, prod.msocdn.com, www.google-analytics.com)","False",,,
,"Exchange Online","8/25/2015 9:00:00 AM","2a64d570-51e3-42e8-a687-97bbbbf5011c","Effective immediately: Exchange 2010 SP3 Hybrid Configuration Wizard Ă˘â‚¬â€ś clarified whatĂ˘â‚¬â„˘s required for this legacy wizard. (domains.live.com)","False",,,
,"SharePoint Online","8/25/2015 9:00:00 AM","5cfb403a-fd60-418f-a810-6dfa304cfc40","Effective immediately: Clarified which FQDNs for SharePoint Online should be added to the Internet Explorer trusted sites zone to allow Explorer View to work. (<tenant>.sharepoint.com & <tenant>-my.sharepoint.com)","False",,,
,"Office 365 Video","8/25/2015 9:00:00 AM","9fe7107e-f920-44cf-8403-afd6018ef810","Effective immediately: Added additional CDN for Office 365 video. (r3.res.outlook.com)","False",,,
